rank	lemma	pos	count	pct	cum_pct
252	точно	ADVB	5332	0.0409	60.0622
253	никакой	ADJF	5307	0.0407	60.1030
254	домой	ADVB	5296	0.0407	60.1436
255	минута	NOUN	5285	0.0406	60.1842
256	верить	VERB	5269	0.0405	60.2246
257	держать	VERB	5269	0.0405	60.2651
258	перед	PREP	5257	0.0404	60.3055
259	ходить	VERB	5254	0.0403	60.3458
260	эй	INTJ	5247	0.0403	60.3861
261	туда	ADVB	5235	0.0402	60.4263
262	второй	ADJF	5175	0.0397	60.4660
263	сразу	ADVB	5148	0.0395	60.5055
264	нога	NOUN	5134	0.0394	60.5449
265	хватить	VERB	5106	0.0392	60.5841
266	привет	NOUN	5076	0.0390	60.6231
267	сердце	NOUN	5065	0.0389	60.6620
268	случай	NOUN	5015	0.0385	60.7005
269	узнать	VERB	5013	0.0385	60.7390
270	бывать	VERB	4982	0.0382	60.7772
271	писать	VERB	4961	0.0381	60.8153
272	петрович	NOUN	4949	0.0380	60.8533
273	тихо	ADVB	4945	0.0380	60.8912
274	сила	NOUN	4919	0.0378	60.9290
275	равно	CONJ	4918	0.0378	60.9668
276	дядя	NOUN	4884	0.0375	61.0043
277	молодец	NOUN	4856	0.0373	61.0415
278	скоро	ADVB	4784	0.0367	61.0783
279	отдать	VERB	4777	0.0367	61.1149
280	уходить	VERB	4764	0.0366	61.1515
281	школа	NOUN	4735	0.0364	61.1879
282	мир	NOUN	4731	0.0363	61.2242
283	молодой	ADJF	4729	0.0363	61.2605
284	оставить	VERB	4646	0.0357	61.2962
285	убить	VERB	4642	0.0356	61.3318
286	считать	VERB	4638	0.0356	61.3674
287	порядок	NOUN	4634	0.0356	61.4030
288	готовый	ADJS	4586	0.0352	61.4382
289	подумать	VERB	4580	0.0352	61.4733
290	старый	ADJF	4567	0.0351	61.5084
291	имя	NOUN	4554	0.0350	61.5434
292	девушка	NOUN	4545	0.0349	61.5783
293	муж	NOUN	4540	0.0349	61.6131
294	русский	ADJF	4539	0.0348	61.6480
295	далёкий	COMP	4529	0.0348	61.6827
296	народ	NOUN	4522	0.0347	61.7174
297	говорить	INFN	4486	0.0344	61.7519
298	наверное	CONJ	4459	0.0342	61.7861
299	мальчик	NOUN	4444	0.0341	61.8202
300	показать	VERB	4435	0.0340	61.8543
301	девочка	NOUN	4433	0.0340	61.8883
302	большой	ADJF	4418	0.0339	61.9222
303	проходить	VERB	4376	0.0336	61.9558
304	письмо	NOUN	4369	0.0335	61.9894
305	ясно	ADVB	4343	0.0333	62.0227
306	её	ADJF	4332	0.0333	62.0560
307	эх	INTJ	4331	0.0332	62.0892
308	решить	VERB	4302	0.0330	62.1222
309	понятно	ADVB	4300	0.0330	62.1552
310	прийтись	VERB	4250	0.0326	62.1879
311	отсюда	ADVB	4248	0.0326	62.2205
